Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
Hyperosmolality and/or hypernatremia,E870,Hyperosmolality and hypernatremia,95.65217391304348,,Fuzzy matched to: 'Hyperosmolality and hypernatremia' with score 95.65217391304348
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction",K269,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",87.19178082191782,,"Fuzzy matched to: 'Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation' with score 87.19178082191782"
Iron deficiency anemia secondary to blood loss (chronic),D500,Iron deficiency anemia secondary to blood loss (chronic),100.0,,Fuzzy matched to: 'Iron deficiency anemia secondary to blood loss (chronic)' with score 100.0
"Congestive heart failure, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Hyposmolality and/or hyponatremia,E871,Hypo-osmolality and hyponatremia,92.3076923076923,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 92.3076923076923
Knee joint replacement,M0000,"Staphylococcal arthritis, unspecified joint",85.5,,"Fuzzy matched to: 'Staphylococcal arthritis, unspecified joint' with score 85.5"
Peritoneal abscess,K651,Peritoneal abscess,100.0,,Fuzzy matched to: 'Peritoneal abscess' with score 100.0
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
Do not resuscitate,Z66,Do not resuscitate,100.0,,Fuzzy matched to: 'Do not resuscitate' with score 100.0
Essential (primary) hypertension,I10,Essential (primary) hypertension,100.0,,Fuzzy matched to: 'Essential (primary) hypertension' with score 100.0
"Pneumonia, unspecified organism",J189,"Pneumonia, unspecified organism",100.0,,"Fuzzy matched to: 'Pneumonia, unspecified organism' with score 100.0"
Long term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,100.0,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 100.0
Severe sepsis with septic shock,R6521,Severe sepsis with septic shock,100.0,,Fuzzy matched to: 'Severe sepsis with septic shock' with score 100.0
Unspecified hemorrhoids,K649,Unspecified hemorrhoids,100.0,,Fuzzy matched to: 'Unspecified hemorrhoids' with score 100.0
Type 2 diabetes mellitus without complications,E119,Type 2 diabetes mellitus without complications,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus without complications' with score 100.0
"Hypothyroidism, unspecified",E039,"Hypothyroidism, unspecified",100.0,,"Fuzzy matched to: 'Hypothyroidism, unspecified' with score 100.0"
"Chronic obstructive pulmonary disease, unspecified",J449,"Chronic obstructive pulmonary disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic obstructive pulmonary disease, unspecified' with score 100.0"
Unspecified atrial fibrillation,I4891,Unspecified atrial fibrillation,100.0,,Fuzzy matched to: 'Unspecified atrial fibrillation' with score 100.0
"Sepsis, unspecified organism",A419,"Sepsis, unspecified organism",100.0,,"Fuzzy matched to: 'Sepsis, unspecified organism' with score 100.0"
Personal history of nicotine dependence,Z87891,Personal history of nicotine dependence,100.0,,Fuzzy matched to: 'Personal history of nicotine dependence' with score 100.0
"Chronic airway obstruction, not elsewhere classified",A061,Chronic intestinal amebiasis,85.5,,Fuzzy matched to: 'Chronic intestinal amebiasis' with score 85.5
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
Unspecified viral hepatitis C without hepatic coma,B1920,Unspecified viral hepatitis C without hepatic coma,100.0,,Fuzzy matched to: 'Unspecified viral hepatitis C without hepatic coma' with score 100.0
Chronic hepatitis C without mention of hepatic coma,B1710,Acute hepatitis C without hepatic coma,86.85714285714286,,Fuzzy matched to: 'Acute hepatitis C without hepatic coma' with score 86.85714285714286
"Bipolar disorder, unspecified",F319,"Bipolar disorder, unspecified",100.0,,"Fuzzy matched to: 'Bipolar disorder, unspecified' with score 100.0"
Unspecified viral hepatitis C with hepatic coma,B1921,Unspecified viral hepatitis C with hepatic coma,100.0,,Fuzzy matched to: 'Unspecified viral hepatitis C with hepatic coma' with score 100.0
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
Asymptomatic human immunodeficiency virus [HIV] infection status,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,100.0,,Fuzzy matched to: 'Asymptomatic human immunodeficiency virus [HIV] infection status' with score 100.0
Do not resuscitate status,Z66,Do not resuscitate,95.0,,Fuzzy matched to: 'Do not resuscitate' with score 95.0
Diarrhea,R197,"Diarrhea, unspecified",90.0,,"Fuzzy matched to: 'Diarrhea, unspecified' with score 90.0"
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Chronic hepatitis C with hepatic coma,B1711,Acute hepatitis C with hepatic coma,86.11111111111111,,Fuzzy matched to: 'Acute hepatitis C with hepatic coma' with score 86.11111111111111
Cirrhosis of liver without mention of alcohol,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Cachexia,R64,Cachexia,100.0,,Fuzzy matched to: 'Cachexia' with score 100.0
Posttraumatic stress disorder,F4311,"Post-traumatic stress disorder, acute",87.87878787878788,,"Fuzzy matched to: 'Post-traumatic stress disorder, acute' with score 87.87878787878788"
Hyperpotassemia,,,74.07407407407408,"[{'ICD_Code': 'E875', 'ICD_Description': 'Hyperkalemia', 'Score': 74.07407407407408}, {'ICD_Code': 'E8341', 'ICD_Description': 'Hypermagnesemia', 'Score': 73.33333333333334}, {'ICD_Code': 'E221', 'ICD_Description': 'Hyperprolactinemia', 'Score': 72.72727272727273}]",No confident match (top score 74.07407407407408). Suggested alternatives provided.
Hyposmolality and/or hyponatremia,E871,Hypo-osmolality and hyponatremia,92.3076923076923,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 92.3076923076923
"Other dependence on machines, supplemental oxygen",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Portal hypertension,K766,Portal hypertension,100.0,,Fuzzy matched to: 'Portal hypertension' with score 100.0
Other iatrogenic hypotension,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Cerebral edema,G936,Cerebral edema,100.0,,Fuzzy matched to: 'Cerebral edema' with score 100.0
Compression of brain,G935,Compression of brain,100.0,,Fuzzy matched to: 'Compression of brain' with score 100.0
Pulmonary collapse,A310,Pulmonary mycobacterial infection,85.5,,Fuzzy matched to: 'Pulmonary mycobacterial infection' with score 85.5
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Family history of other specified malignant neoplasm,Z8041,Family history of malignant neoplasm of ovary,87.6923076923077,,Fuzzy matched to: 'Family history of malignant neoplasm of ovary' with score 87.6923076923077
"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Family history of malignant neoplasm of trachea, bronchus, and lung",Z801,"Family history of malignant neoplasm of trachea, bronchus and lung",99.24812030075188,,"Fuzzy matched to: 'Family history of malignant neoplasm of trachea, bronchus and lung' with score 99.24812030075188"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Intracranial abscess,G060,Intracranial abscess and granuloma,90.0,,Fuzzy matched to: 'Intracranial abscess and granuloma' with score 90.0
Multiple sclerosis,G35,Multiple sclerosis,100.0,,Fuzzy matched to: 'Multiple sclerosis' with score 100.0
"Chronic kidney disease, stage 3 (moderate)",N181,"Chronic kidney disease, stage 1",91.83333333333333,,"Fuzzy matched to: 'Chronic kidney disease, stage 1' with score 91.83333333333333"
Other and unspecified noninfectious gastroenteritis and colitis,K5289,Other specified noninfective gastroenteritis and colitis,90.75630252100841,,Fuzzy matched to: 'Other specified noninfective gastroenteritis and colitis' with score 90.75630252100841
Other secondary pulmonary hypertension,I2729,Other secondary pulmonary hypertension,100.0,,Fuzzy matched to: 'Other secondary pulmonary hypertension' with score 100.0
Nontoxic multinodular goiter,E042,Nontoxic multinodular goiter,100.0,,Fuzzy matched to: 'Nontoxic multinodular goiter' with score 100.0
Other fluid overload,E8779,Other fluid overload,100.0,,Fuzzy matched to: 'Other fluid overload' with score 100.0
Essential (primary) hypertension,I10,Essential (primary) hypertension,100.0,,Fuzzy matched to: 'Essential (primary) hypertension' with score 100.0
Other specified diseases of upper respiratory tract,J398,Other specified diseases of upper respiratory tract,100.0,,Fuzzy matched to: 'Other specified diseases of upper respiratory tract' with score 100.0
Dizziness and giddiness,R42,Dizziness and giddiness,100.0,,Fuzzy matched to: 'Dizziness and giddiness' with score 100.0
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Idiopathic gout, unspecified site",M1000,"Idiopathic gout, unspecified site",100.0,,"Fuzzy matched to: 'Idiopathic gout, unspecified site' with score 100.0"
"Peripheral vascular disease, unspecified",I739,"Peripheral vascular disease, unspecified",100.0,,"Fuzzy matched to: 'Peripheral vascular disease, unspecified' with score 100.0"
"Neuromuscular dysfunction of bladder, unspecified",N319,"Neuromuscular dysfunction of bladder, unspecified",100.0,,"Fuzzy matched to: 'Neuromuscular dysfunction of bladder, unspecified' with score 100.0"
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
Dehydration,E860,Dehydration,100.0,,Fuzzy matched to: 'Dehydration' with score 100.0
"Chronic kidney disease, unspecified",N189,"Chronic kidney disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic kidney disease, unspecified' with score 100.0"
Type 2 diabetes mellitus without complications,E119,Type 2 diabetes mellitus without complications,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus without complications' with score 100.0
Abdominal aneurysm without mention of rupture,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Chronic obstructive pulmonary disease, unspecified",J449,"Chronic obstructive pulmonary disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic obstructive pulmonary disease, unspecified' with score 100.0"
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Unspecified atrial fibrillation,I4891,Unspecified atrial fibrillation,100.0,,Fuzzy matched to: 'Unspecified atrial fibrillation' with score 100.0
"Body mass index (BMI) 29.0-29.9, adult",Z6829,"Body mass index [BMI] 29.0-29.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 29.0-29.9, adult' with score 94.73684210526316"
Nonrheumatic mitral (valve) insufficiency,I340,Nonrheumatic mitral (valve) insufficiency,100.0,,Fuzzy matched to: 'Nonrheumatic mitral (valve) insufficiency' with score 100.0
"Chronic kidney disease, Stage III (moderate)",A061,Chronic intestinal amebiasis,85.5,,Fuzzy matched to: 'Chronic intestinal amebiasis' with score 85.5
Personal history of other venous thrombosis and embolism,Z86718,Personal history of other venous thrombosis and embolism,100.0,,Fuzzy matched to: 'Personal history of other venous thrombosis and embolism' with score 100.0
"Swelling, mass, or lump in head and neck",A5277,Syphilis of bone and joint,85.5,,Fuzzy matched to: 'Syphilis of bone and joint' with score 85.5
Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm,E0520,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm,100.0,,Fuzzy matched to: 'Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm' with score 100.0
Peripheral vascular angioplasty status with implants and grafts,Z95820,Peripheral vascular angioplasty status with implants and grafts,100.0,,Fuzzy matched to: 'Peripheral vascular angioplasty status with implants and grafts' with score 100.0
Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Obstructive sleep apnea (adult) (pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),100.0,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 100.0
Long term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,100.0,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 100.0
